finalWorth,personName,age,country,industries,selfMade,status,gender,gdp_country,total_tax_rate_country,population_country
7500,Arthur Blank,80,United States,Sports,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
7500,Charles Butt,85,United States,Fashion & Retail,FALSE,R,M,"$21,427,700,000,000 ",36.6,328239523
7500,Ding Shijia,59,China,Fashion & Retail,TRUE,D,M,"$19,910,000,000,000 ",59.2,1397715000
7500,"Paul Tudor Jones, II.",68,United States,Finance & Investments,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
7500,Henry Kravis,79,United States,Finance & Investments,TRUE,D,M,"$21,427,700,000,000 ",36.6,328239523
7500,Zhang Yong,52,Singapore,Food & Beverage,TRUE,U,M,"$372,062,527,489 ",21,5703569
7400,James Goodnight,80,United States,Technology,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
7400,Sri Prakash Lohia,70,United Kingdom,Manufacturing,FALSE,U,M,"$2,827,113,184,696 ",30.6,66834405
7400,Ma Jianrong,59,China,Fashion & Retail,TRUE,D,M,"$19,910,000,000,000 ",59.2,1397715000
7400,Robert Ng,71,Singapore,Real Estate,FALSE,Split Family Fortune,M,"$372,062,527,489 ",21,5703569
7400,Steven Rales,72,United States,Manufacturing,TRUE,D,M,"$21,427,700,000,000 ",36.6,328239523
7400,Nassef Sawiris,62,Egypt,Construction & Engineering,FALSE,D,M,"$303,175,127,598 ",44.4,100388073
7400,Harry Stine,81,United States,Food & Beverage,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
7300,Benu Gopal Bangur,91,India,Manufacturing,FALSE,U,M,"$2,611,000,000,000 ",49.7,1366417754
7300,Iskander Makhmudov,59,Russia,Metals & Mining,TRUE,U,M,"$1,699,876,578,871 ",46.2,144373535
7300,Anders Holch Povlsen,50,Denmark,Fashion & Retail,FALSE,D,M,"$348,078,018,464 ",23.8,5818553
7300,Enrique Razon Jr.,63,Philippines,Logistics,FALSE,U,M,"$376,795,508,680 ",43.1,108116615
7300,Wang Laichun,55,China,Technology,TRUE,D,F,"$19,910,000,000,000 ",59.2,1397715000
7200,Arthur Dantchik,65,United States,Finance & Investments,TRUE,N,M,"$21,427,700,000,000 ",36.6,328239523
7200,Jeff Greene,68,United States,Real Estate,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
7200,Don Hankey,79,United States,Finance & Investments,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
7200,Richard Kinder,78,United States,Energy,TRUE,D,M,"$21,427,700,000,000 ",36.6,328239523
7200,Guillaume Pousaz,41,United Arab Emirates,Finance & Investments,TRUE,D,M,"$421,142,267,938 ",15.9,9770529
7200,Takahisa Takahara,61,Japan,Fashion & Retail,FALSE,U,M,"$5,081,769,542,380 ",46.7,126226568
7200,Zong Qinghou,77,China,Food & Beverage,TRUE,D,M,"$19,910,000,000,000 ",59.2,1397715000
7100,Judy Faulkner,79,United States,Technology,TRUE,U,F,"$21,427,700,000,000 ",36.6,328239523
7100,Johann Graf,76,Austria,Gambling & Casinos,TRUE,U,M,"$446,314,739,528 ",51.4,8877067
7100,Tamara Gustavson,61,United States,Service,FALSE,D,F,"$21,427,700,000,000 ",36.6,328239523
7100,Liang Wengen,66,China,Manufacturing,TRUE,D,M,"$19,910,000,000,000 ",59.2,1397715000
7100,Frederik Paulsen,72,Switzerland,Healthcare,FALSE,D,M,"$703,082,435,360 ",28.8,8574832
7100,Wee Cho Yaw,94,Singapore,Finance & Investments,FALSE,D,M,"$372,062,527,489 ",21,5703569
7100,Zhang Hejun,71,China,Manufacturing,TRUE,U,M,"$19,910,000,000,000 ",59.2,1397715000
7000,Marc Benioff,58,United States,Technology,TRUE,D,M,"$21,427,700,000,000 ",36.6,328239523
7000,Dmitri Bukhman,37,United Kingdom,Media & Entertainment,TRUE,D,M,"$2,827,113,184,696 ",30.6,66834405
7000,Igor Bukhman,41,United Kingdom,Media & Entertainment,TRUE,D,M,"$2,827,113,184,696 ",30.6,66834405
7000,Jack Dangermond,77,United States,Technology,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
7000,Ashwin Dani & family,80,India,Manufacturing,FALSE,D,M,"$2,611,000,000,000 ",49.7,1366417754
7000,Ralph Lauren,83,United States,Fashion & Retail,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
7000,Rohiqa Cyrus Mistry,55,India,Diversified,FALSE,N,F,"$2,611,000,000,000 ",49.7,1366417754
7000,Shapoor Mistry,58,India,Diversified,FALSE,N,M,"$2,611,000,000,000 ",49.7,1366417754
7000,J. Christopher Reyes,69,United States,Food & Beverage,TRUE,D,M,"$21,427,700,000,000 ",36.6,328239523
7000,Jude Reyes,67,United States,Food & Beverage,TRUE,D,M,"$21,427,700,000,000 ",36.6,328239523
7000,Don Vultaggio & family,71,United States,Food & Beverage,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
6900,Alejandro Bailleres Gual & family,62,Mexico,Diversified,FALSE,U,M,"$1,258,286,717,125 ",55.1,126014024
6900,Edythe Broad & family,87,United States,Diversified,FALSE,E,F,"$21,427,700,000,000 ",36.6,328239523
6900,Pauline MacMillan Keinath,89,United States,Food & Beverage,FALSE,D,F,"$21,427,700,000,000 ",36.6,328239523
6900,Philippe Laffont,55,United States,Finance & Investments,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
6900,Liu Jincheng & family,58,China,Technology,TRUE,D,M,"$19,910,000,000,000 ",59.2,1397715000
6900,Igor Olenicoff,80,United States,Real Estate,TRUE,U,M,"$21,427,700,000,000 ",36.6,328239523
6900,Sandra Ortega Mera,54,Spain,Fashion & Retail,FALSE,U,F,"$1,394,116,310,769 ",47,47076781
